"subjID"	"choice"	"outcome"
"307"	144	1	-1
"308"	144	2	1
"309"	144	2	1
"310"	144	2	1
"311"	145	2	1
"312"	145	2	1
"313"	145	2	1
"314"	145	1	-1
"315"	145	1	-1
"316"	145	2	-1
"317"	145	2	-1
"318"	145	2	-1
"319"	145	2	-1
"320"	145	1	1
"321"	146	1	1
"322"	146	1	1
"323"	146	1	1
"324"	146	1	1
"325"	146	1	1
"326"	146	2	1
"327"	146	2	1
"328"	146	1	-1
"329"	146	2	1
"330"	146	1	-1
"331"	148	2	-1
"332"	148	1	1
"333"	148	1	1
"334"	148	2	-1
"335"	148	1	1
"336"	148	1	-1
"337"	148	1	-1
"338"	148	2	1
"339"	148	1	-1
"340"	148	2	1
"341"	149	1	-1
"342"	149	1	-1
"343"	149	2	1
"344"	149	2	1
"345"	149	2	1
"346"	149	2	-1
"347"	149	2	-1
"348"	149	1	1
"349"	149	1	1
"350"	149	1	1
"351"	151	1	-1
"352"	151	1	-1
"353"	151	2	1
"354"	151	2	1
"355"	151	2	1
"356"	151	2	-1
"357"	151	1	1
"358"	151	1	1
"359"	151	1	1
"360"	151	1	1
"361"	152	1	1
"362"	152	1	1
"363"	152	1	1
"364"	152	2	-1
"365"	152	1	1
"366"	152	1	-1
"367"	152	2	1
"368"	152	2	1
"369"	152	2	1
"370"	152	2	1
"371"	154	1	1
"372"	154	1	1
"373"	154	1	1
"374"	154	1	1
"375"	154	2	-1
"376"	154	1	-1
"377"	154	2	1
"378"	154	1	-1
"379"	154	1	-1
"380"	154	2	1
"381"	201	1	-1
"382"	201	2	1
"383"	201	2	1
"384"	201	2	1
"385"	201	1	-1
"386"	201	2	-1
"387"	201	2	-1
"388"	201	2	-1
"389"	201	2	-1
"390"	201	2	-1
"391"	202	1	1
"392"	202	1	1
"393"	202	1	1
"394"	202	1	1
"395"	202	1	1
"396"	202	1	-1
"397"	202	2	1
"398"	202	2	1
"399"	202	2	1
"400"	202	2	1
"401"	203	2	1
"402"	203	2	1
"403"	203	1	-1
"404"	203	2	1
"405"	203	1	-1
"406"	203	2	-1
"407"	203	1	1
"408"	203	2	-1
"409"	203	2	-1
"410"	203	1	1
"411"	204	1	1
"412"	204	1	1
"413"	204	2	-1
"414"	204	2	-1
"415"	204	1	1
"416"	204	2	1
"417"	204	2	1
"418"	204	1	-1
"419"	204	1	-1
"420"	204	1	-1
"421"	205	2	1
"422"	205	1	-1
"423"	205	2	1
"424"	205	1	-1
"425"	205	2	1
"426"	205	2	-1
"427"	205	2	-1
"428"	205	2	-1
"429"	205	2	-1
"430"	205	1	1
"431"	207	2	1
"432"	207	2	1
"433"	207	1	-1
"434"	207	1	-1
"435"	207	1	-1
"436"	207	1	1
"437"	207	1	1
"438"	207	1	1
"439"	207	1	1
"440"	207	1	1
"441"	208	2	-1
"442"	208	2	-1
"443"	208	2	-1
"444"	208	2	-1
"445"	208	1	1
"446"	208	1	-1
"447"	208	2	1
"448"	208	1	-1
"449"	208	1	-1
"450"	208	2	1
"451"	209	1	-1
"452"	209	1	-1
"453"	209	1	-1
"454"	209	2	1
"455"	209	1	-1
"456"	209	1	1
"457"	209	1	1
"458"	209	1	1
"459"	209	1	1
"460"	209	1	1
"461"	210	1	1
"462"	210	2	-1
"463"	210	1	1
"464"	210	1	1
"465"	210	1	1
"466"	210	2	1
"467"	210	2	1
"468"	210	1	-1
"469"	210	2	1
"470"	210	1	-1
"471"	211	2	1
"472"	211	2	1
"473"	211	2	1
"474"	211	2	1
"475"	211	2	1
"476"	211	2	-1
"477"	211	2	-1
"478"	211	1	1
"479"	211	2	-1
"480"	211	2	-1
"481"	212	1	1
"482"	212	1	1
"483"	212	2	-1
"484"	212	2	-1
"485"	212	1	1
"486"	212	2	1
"487"	212	1	-1
"488"	212	1	-1
"489"	212	1	-1
"490"	212	2	1
"491"	215	1	-1
"492"	215	1	-1
"493"	215	2	1
"494"	215	2	1
"495"	215	2	1
"496"	215	1	1
"497"	215	2	-1
"498"	215	1	1
"499"	215	2	-1
"500"	215	2	-1
"501"	217	2	1
"502"	217	2	1
"503"	217	2	1
"504"	217	2	1
"505"	217	2	1
"506"	217	2	-1
"507"	217	1	1
"508"	217	1	1
"509"	217	1	1
"510"	217	1	1
"511"	218	1	1
"512"	218	1	1
"513"	218	1	1
"514"	218	2	-1
"515"	218	1	1
"516"	218	1	-1
"517"	218	1	-1
"518"	218	2	1
"519"	218	2	1
"520"	218	2	1
"521"	219	1	-1
"522"	219	2	1
"523"	219	2	1
"524"	219	1	-1
"525"	219	2	1
"526"	219	2	-1
"527"	219	1	1
"528"	219	2	-1
"529"	219	1	1
"530"	219	2	-1
"531"	220	1	1
"532"	220	1	1
"533"	220	1	1
"534"	220	1	1
"535"	220	1	1
"536"	220	1	-1
"537"	220	1	-1
"538"	220	2	1
"539"	220	2	1
"540"	220	1	-1
"541"	221	2	1
"542"	221	2	1
"543"	221	2	1
"544"	221	2	1
"545"	221	2	1
"546"	221	2	-1
"547"	221	1	1
"548"	221	1	1
"549"	221	2	-1
"550"	221	2	-1
"551"	222	1	1
"552"	222	1	1
"553"	222	1	1
"554"	222	1	1
"555"	222	1	1
"556"	222	1	-1
"557"	222	2	1
"558"	222	2	1
"559"	222	2	1
"560"	222	2	1
"561"	223	2	1
"562"	223	2	1
"563"	223	2	1
"564"	223	1	-1
"565"	223	2	1
"566"	223	2	-1
"567"	223	2	-1
"568"	223	2	-1
"569"	223	1	1
"570"	223	2	-1
"571"	225	2	1
"572"	225	2	1
"573"	225	2	1
"574"	225	2	1
"575"	225	2	1
"576"	225	1	1
"577"	225	1	1
"578"	225	2	-1
"579"	225	2	-1
"580"	225	1	1
"581"	226	2	-1
"582"	226	1	1
"583"	226	1	1
"584"	226	1	1
"585"	226	1	1
"586"	226	1	-1
"587"	226	2	1
"588"	226	2	1
"589"	226	1	-1
"590"	226	1	-1
"591"	228	1	1
"592"	228	2	-1
"593"	228	1	1
"594"	228	1	1
"595"	228	1	1
"596"	228	1	-1
"597"	228	2	1
"598"	228	1	-1
"599"	228	1	-1
"600"	228	1	-1
"601"	229	1	-1
"602"	229	2	1
"603"	229	2	1
"604"	229	2	1
"605"	229	1	-1
"606"	229	2	-1
"607"	229	2	-1
"608"	229	2	-1
"609"	229	1	1
"610"	229	1	1
"611"	230	2	-1
"612"	230	1	1
"613"	230	1	1
"614"	230	1	1
"615"	230	1	1
"616"	230	1	-1
"617"	230	2	1
"618"	230	2	1
"619"	230	2	1
"620"	230	1	-1
"621"	231	2	1
"622"	231	2	1
"623"	231	2	1
"624"	231	2	1
"625"	231	2	1
"626"	231	2	-1
"627"	231	1	1
"628"	231	1	1
"629"	231	1	1
"630"	231	1	1
"631"	232	1	1
"632"	232	2	-1
"633"	232	2	-1
"634"	232	2	-1
"635"	232	2	-1
"636"	232	1	-1
"637"	232	1	-1
"638"	232	1	-1
"639"	232	1	-1
"640"	232	1	-1
"641"	233	1	-1
"642"	233	2	1
"643"	233	1	-1
"644"	233	1	-1
"645"	233	1	-1
"646"	233	2	-1
"647"	233	1	1
"648"	233	1	1
"649"	233	2	-1
"650"	233	1	1
"651"	234	2	-1
"652"	234	1	1
"653"	234	2	-1
"654"	234	1	1
"655"	234	1	1
"656"	234	1	-1
"657"	234	2	1
"658"	234	1	-1
"659"	234	1	-1
"660"	234	2	1
"661"	236	2	-1
"662"	236	1	1
"663"	236	1	1
"664"	236	1	1
"665"	236	1	1
"666"	236	1	-1
"667"	236	2	1
"668"	236	2	1
"669"	236	2	1
"670"	236	2	1
"671"	249	2	1
"672"	249	2	1
"673"	249	2	1
"674"	249	2	1
"675"	249	2	1
"676"	249	2	-1
"677"	249	1	1
"678"	249	2	-1
"679"	249	1	1
"680"	249	1	1
"681"	253	1	-1
"682"	253	1	-1
"683"	253	2	1
"684"	253	2	1
"685"	253	2	1
"686"	253	2	-1
"687"	253	2	-1
"688"	253	1	1
"689"	253	1	1
