"subjID" "choice" "outcome"
"308" 135 2 -1
"309" 135 2 -1
"310" 135 1 1
"311" 136 1 1
"312" 136 2 -1
"313" 136 1 1
"314" 136 1 1
"315" 136 1 1
"316" 136 1 -1
"317" 136 1 -1
"318" 136 2 1
"319" 136 1 -1
"320" 136 2 1
"321" 137 1 -1
"322" 137 2 1
"323" 137 2 1
"324" 137 2 1
"325" 137 2 1
"326" 137 2 -1
"327" 137 1 1
"328" 137 1 1
"329" 137 1 1
"330" 137 2 -1
"331" 138 0 0
"332" 138 1 1
"333" 138 1 1
"334" 138 1 1
"335" 138 1 1
"336" 138 1 -1
"337" 138 2 1
"338" 138 2 1
"339" 138 2 1
"340" 138 2 1
"341" 139 2 1
"342" 139 2 1
"343" 139 2 1
"344" 139 2 1
"345" 139 2 1
"346" 139 2 -1
"347" 139 2 -1
"348" 139 2 -1
"349" 139 1 1
"350" 139 2 -1
"351" 140 1 1
"352" 140 1 1
"353" 140 1 1
"354" 140 2 -1
"355" 140 1 1
"356" 140 1 -1
"357" 140 2 1
"358" 140 1 -1
"359" 140 1 -1
"360" 140 1 -1
"361" 141 1 -1
"362" 141 1 -1
"363" 141 2 1
"364" 141 2 1
"365" 141 1 -1
"366" 141 2 -1
"367" 141 2 -1
"368" 141 1 1
"369" 141 2 -1
"370" 141 2 -1
"371" 142 1 1
"372" 142 1 1
"373" 142 1 1
"374" 142 1 1
"375" 142 1 1
"376" 142 1 -1
"377" 142 2 1
"378" 142 1 -1
"379" 142 1 -1
"380" 142 2 1
"381" 143 2 1
"382" 143 2 1
"383" 143 1 -1
"384" 143 1 -1
"385" 143 2 1
"386" 143 2 -1
"387" 143 1 1
"388" 143 2 -1
"389" 143 2 -1
"390" 143 2 -1
"391" 144 2 -1
"392" 144 2 -1
"393" 144 1 1
"394" 144 1 1
"395" 144 1 1
"396" 144 1 -1
"397" 144 1 -1
"398" 144 2 1
"399" 144 2 1
"400" 144 2 1
"401" 145 2 1
"402" 145 2 1
"403" 145 2 1
"404" 145 1 -1
"405" 145 1 -1
"406" 145 2 -1
"407" 145 2 -1
"408" 145 2 -1
"409" 145 2 -1
"410" 145 1 1
"411" 146 1 1
"412" 146 1 1
"413" 146 1 1
"414" 146 1 1
"415" 146 1 1
"416" 146 2 1
"417" 146 2 1
"418" 146 1 -1
"419" 146 2 1
"420" 146 1 -1
"421" 147 2 1
"422" 147 2 1
"423" 147 2 1
"424" 147 1 -1
"425" 147 0 0
"426" 147 1 1
"427" 147 1 1
"428" 147 2 -1
"429" 147 1 1
"430" 147 1 1
"431" 148 2 -1
"432" 148 1 1
"433" 148 1 1
"434" 148 2 -1
"435" 148 1 1
"436" 148 1 -1
"437" 148 1 -1
"438" 148 2 1
"439" 148 1 -1
"440" 148 2 1
"441" 149 1 -1
"442" 149 1 -1
"443" 149 2 1
"444" 149 2 1
"445" 149 2 1
"446" 149 2 -1
"447" 149 2 -1
"448" 149 1 1
"449" 149 1 1
"450" 149 1 1
"451" 150 2 -1
"452" 150 2 -1
"453" 150 0 0
"454" 150 1 1
"455" 150 2 -1
"456" 150 1 -1
"457" 150 2 1
"458" 150 1 -1
"459" 150 0 0
"460" 150 2 1
"461" 151 1 -1
"462" 151 1 -1
"463" 151 2 1
"464" 151 2 1
"465" 151 2 1
"466" 151 2 -1
"467" 151 1 1
"468" 151 1 1
"469" 151 1 1
"470" 151 1 1
"471" 152 1 1
"472" 152 1 1
"473" 152 1 1
"474" 152 2 -1
"475" 152 1 1
"476" 152 1 -1
"477" 152 2 1
"478" 152 2 1
"479" 152 2 1
"480" 152 2 1
"481" 153 1 -1
"482" 153 2 1
"483" 153 1 -1
"484" 153 0 0
"485" 153 2 1
"486" 153 0 0
"487" 153 1 1
"488" 153 1 1
"489" 153 1 1
"490" 153 0 0
"491" 154 1 1
"492" 154 1 1
"493" 154 1 1
"494" 154 1 1
"495" 154 2 -1
"496" 154 1 -1
"497" 154 2 1
"498" 154 1 -1
"499" 154 1 -1
"500" 154 2 1
"501" 201 1 -1
"502" 201 2 1
"503" 201 2 1
"504" 201 2 1
"505" 201 1 -1
"506" 201 2 -1
"507" 201 2 -1
"508" 201 2 -1
"509" 201 2 -1
"510" 201 2 -1
"511" 202 1 1
"512" 202 1 1
"513" 202 1 1
"514" 202 1 1
"515" 202 1 1
"516" 202 1 -1
"517" 202 2 1
"518" 202 2 1
"519" 202 2 1
"520" 202 2 1
"521" 203 2 1
"522" 203 2 1
"523" 203 1 -1
"524" 203 2 1
"525" 203 1 -1
"526" 203 2 -1
"527" 203 1 1
"528" 203 2 -1
"529" 203 2 -1
"530" 203 1 1
"531" 204 1 1
"532" 204 1 1
"533" 204 2 -1
"534" 204 2 -1
"535" 204 1 1
"536" 204 2 1
"537" 204 2 1
"538" 204 1 -1
"539" 204 1 -1
"540" 204 1 -1
"541" 205 2 1
"542" 205 1 -1
"543" 205 2 1
"544" 205 1 -1
"545" 205 2 1
"546" 205 2 -1
"547" 205 2 -1
"548" 205 2 -1
"549" 205 2 -1
"550" 205 1 1
"551" 206 2 -1
"552" 206 1 1
"553" 206 1 1
"554" 206 0 0
"555" 206 1 1
"556" 206 1 -1
"557" 206 2 1
"558" 206 1 -1
"559" 206 1 -1
"560" 206 2 1
"561" 207 2 1
"562" 207 2 1
"563" 207 1 -1
"564" 207 1 -1
"565" 207 1 -1
"566" 207 1 1
"567" 207 1 1
"568" 207 1 1
"569" 207 1 1
"570" 207 1 1
"571" 208 2 -1
"572" 208 2 -1
"573" 208 2 -1
"574" 208 2 -1
"575" 208 1 1
"576" 208 1 -1
"577" 208 2 1
"578" 208 1 -1
"579" 208 1 -1
"580" 208 2 1
"581" 209 1 -1
"582" 209 1 -1
"583" 209 1 -1
"584" 209 2 1
"585" 209 1 -1
"586" 209 1 1
"587" 209 1 1
"588" 209 1 1
"589" 209 1 1
"590" 209 1 1
"591" 210 1 1
"592" 210 2 -1
"593" 210 1 1
"594" 210 1 1
"595" 210 1 1
"596" 210 2 1
"597" 210 2 1
"598" 210 1 -1
"599" 210 2 1
"600" 210 1 -1
"601" 211 2 1
"602" 211 2 1
"603" 211 2 1
"604" 211 2 1
"605" 211 2 1
"606" 211 2 -1
"607" 211 2 -1
"608" 211 1 1
"609" 211 2 -1
"610" 211 2 -1
"611" 212 1 1
"612" 212 1 1
"613" 212 2 -1
"614" 212 2 -1
"615" 212 1 1
"616" 212 2 1
"617" 212 1 -1
"618" 212 1 -1
"619" 212 1 -1
"620" 212 2 1
"621" 213 1 -1
"622" 213 1 -1
"623" 213 1 -1
"624" 213 0 0
"625" 213 1 -1
"626" 213 2 -1
"627" 213 1 1
"628" 213 1 1
"629" 213 1 1
"630" 213 1 1
"631" 214 2 -1
"632" 214 1 1
"633" 214 1 1
"634" 214 1 1
"635" 214 2 -1
"636" 214 1 -1
"637" 214 2 1
"638" 214 1 -1
"639" 214 2 1
"640" 214 0 0
"641" 215 1 -1
"642" 215 1 -1
"643" 215 2 1
"644" 215 2 1
"645" 215 2 1
"646" 215 1 1
"647" 215 2 -1
"648" 215 1 1
"649" 215 2 -1
"650" 215 2 -1
"651" 216 1 -1
"652" 216 2 1
"653" 216 1 -1
"654" 216 1 -1
"655" 216 0 0
"656" 216 1 1
"657" 216 1 1
"658" 216 1 1
"659" 216 2 -1
"660" 216 2 -1
"661" 217 2 1
"662" 217 2 1
"663" 217 2 1
"664" 217 2 1
"665" 217 2 1
"666" 217 2 -1
"667" 217 1 1
"668" 217 1 1
"669" 217 1 1
"670" 217 1 1
"671" 218 1 1
"672" 218 1 1
"673" 218 1 1
"674" 218 2 -1
"675" 218 1 1
"676" 218 1 -1
"677" 218 1 -1
"678" 218 2 1
"679" 218 2 1
"680" 218 2 1
"681" 219 1 -1
"682" 219 2 1
"683" 219 2 1
"684" 219 1 -1
"685" 219 2 1
"686" 219 2 -1
"687" 219 1 1
"688" 219 2 -1
"689" 219 1 1
"690" 219 2 -1
"691" 220 1 1
"692" 220 1 1
"693" 220 1 1
"694" 220 1 1
"695" 220 1 1
"696" 220 1 -1
"697" 220 1 -1
"698" 220 2 1
"699" 220 2 1
"700" 220 1 -1
"701" 221 2 1
"702" 221 2 1
"703" 221 2 1
"704" 221 2 1
"705" 221 2 1
"706" 221 2 -1
"707" 221 1 1
"708" 221 1 1
"709" 221 2 -1
"710" 221 2 -1
"711" 222 1 1
"712" 222 1 1
"713" 222 1 1
"714" 222 1 1
"715" 222 1 1
"716" 222 1 -1
"717" 222 2 1
"718" 222 2 1
"719" 222 2 1
"720" 222 2 1
"721" 223 2 1
"722" 223 2 1
"723" 223 2 1
"724" 223 1 -1
"725" 223 2 1
"726" 223 2 -1
"727" 223 2 -1
"728" 223 2 -1
"729" 223 1 1
"730" 223 2 -1
"731" 225 2 1
"732" 225 2 1
"733" 225 2 1
"734" 225 2 1
"735" 225 2 1
"736" 225 1 1
"737" 225 1 1
"738" 225 2 -1
"739" 225 2 -1
"740" 225 1 1
"741" 226 2 -1
"742" 226 1 1
"743" 226 1 1
"744" 226 1 1
"745" 226 1 1
"746" 226 1 -1
"747" 226 2 1
"748" 226 2 1
"749" 226 1 -1
"750" 226 1 -1
"751" 227 1 -1
"752" 227 2 1
"753" 227 2 1
"754" 227 2 1
"755" 227 0 0
"756" 227 2 -1
"757" 227 1 1
"758" 227 0 0
"759" 227 2 -1
"760" 227 0 0
"761" 228 1 1
"762" 228 2 -1
"763" 228 1 1
"764" 228 1 1
"765" 228 1 1
"766" 228 1 -1
"767" 228 2 1
"768" 228 1 -1
"769" 228 1 -1
"770" 228 1 -1
"771" 229 1 -1
"772" 229 2 1
"773" 229 2 1
"774" 229 2 1
"775" 229 1 -1
"776" 229 2 -1
"777" 229 2 -1
"778" 229 2 -1
"779" 229 1 1
"780" 229 1 1
"781" 230 2 -1
"782" 230 1 1
"783" 230 1 1
"784" 230 1 1
"785" 230 1 1
"786" 230 1 -1
"787" 230 2 1
"788" 230 2 1
"789" 230 2 1
"790" 230 1 -1
"791" 231 2 1
"792" 231 2 1
"793" 231 2 1
"794" 231 2 1
"795" 231 2 1
"796" 231 2 -1
"797" 231 1 1
"798" 231 1 1
"799" 231 1 1
"800" 231 1 1
"801" 232 1 1
"802" 232 2 -1
"803" 232 2 -1
"804" 232 2 -1
"805" 232 2 -1
"806" 232 1 -1
"807" 232 1 -1
"808" 232 1 -1
"809" 232 1 -1
"810" 232 1 -1
"811" 233 1 -1
"812" 233 2 1
"813" 233 1 -1
"814" 233 1 -1
"815" 233 1 -1
"816" 233 2 -1
"817" 233 1 1
"818" 233 1 1
"819" 233 2 -1
"820" 233 1 1
"821" 234 2 -1
"822" 234 1 1
"823" 234 2 -1
"824" 234 1 1
"825" 234 1 1
"826" 234 1 -1
"827" 234 2 1
"828" 234 1 -1
"829" 234 1 -1
"830" 234 2 1
"831" 235 0 0
"832" 235 1 -1
"833" 235 2 1
"834" 235 2 1
"835" 235 1 -1
"836" 235 0 0
"837" 235 2 -1
"838" 235 2 -1
"839" 235 0 0
"840" 235 1 1
"841" 236 2 -1
"842" 236 1 1
"843" 236 1 1
"844" 236 1 1
"845" 236 1 1
"846" 236 1 -1
"847" 236 2 1
"848" 236 2 1
"849" 236 2 1
"850" 236 2 1
"851" 237 2 1
"852" 237 2 1
"853" 237 1 -1
"854" 237 1 -1
"855" 237 2 1
"856" 237 2 -1
"857" 237 1 1
"858" 237 2 -1
"859" 237 0 0
"860" 237 0 0
"861" 238 1 1
"862" 238 1 1
"863" 238 2 -1
"864" 238 2 -1
"865" 238 2 -1
"866" 238 2 1
"867" 238 0 0
"868" 238 1 -1
"869" 238 1 -1
"870" 238 2 1
"871" 239 2 1
"872" 239 2 1
"873" 239 2 1
"874" 239 2 1
"875" 239 2 1
"876" 239 2 -1
"877" 239 2 -1
"878" 239 0 0
"879" 239 0 0
"880" 239 0 0
"881" 249 2 1
"882" 249 2 1
"883" 249 2 1
"884" 249 2 1
"885" 249 2 1
"886" 249 2 -1
"887" 249 1 1
"888" 249 2 -1
"889" 249 1 1
"890" 249 1 1
"891" 250 2 -1
"892" 250 0 0
"893" 250 0 0
"894" 250 0 0
"895" 250 2 -1
"896" 250 1 -1
"897" 250 1 -1
"898" 250 1 -1
"899" 250 1 -1
"900" 250 1 -1
"901" 251 2 1
"902" 251 1 -1
"903" 251 2 1
"904" 251 2 1
"905" 251 1 -1
"906" 251 2 -1
"907" 251 0 0
"908" 251 2 -1
"909" 251 1 1
"910" 251 2 -1
"911" 253 1 -1
"912" 253 1 -1
"913" 253 2 1
"914" 253 2 1
"915" 253 2 1
"916" 253 2 -1
"917" 253 2 -1
"918" 253 1 1
"919" 253 1 1
"920" 253 2 -1
"921" 254 1 -1
"922" 254 1 -1
"923" 254 2 1
"924" 254 2 1
"925" 254 1 -1
"926" 254 2 -1
"927" 254 1 1
"928" 254 0 0
"929" 254 2 -1
"930" 254 2 -1
"931" 255 1 -1
"932" 255 2 1
"933" 255 2 1
"934" 255 1 -1
"935" 255 1 -1
"936" 255 1 1
"937" 255 1 1
"938" 255 2 -1
"939" 255 1 1
"940" 255 0 0
"941" 256 2 -1
"942" 256 2 -1
"943" 256 1 1
"944" 256 2 -1
"945" 256 2 -1
"946" 256 2 1
"947" 256 1 -1
"948" 256 1 -1
"949" 256 1 -1
"950" 256 1 -1
"951" 257 1 -1
"952" 257 0 0
"953" 257 0 0
"954" 257 0 0
"955" 257 1 -1
"956" 257 1 1
"957" 257 2 -1
"958" 257 2 -1
"959" 257 2 -1
"960" 257 1 1
"961" 258 2 -1
"962" 258 1 1
"963" 258 1 1
"964" 258 1 1
"965" 258 1 1
"966" 258 1 -1
"967" 258 1 -1
"968" 258 1 -1
"969" 258 1 -1
"970" 258 1 -1
"971" 259 2 1
"972" 259 2 1
"973" 259 1 -1
"974" 259 1 -1
"975" 259 2 1
"976" 259 2 -1
"977" 259 1 1
"978" 259 2 -1
"979" 259 1 1
"980" 259 1 1
"981" 260 1 1
"982" 260 1 1
"983" 260 2 -1
"984" 260 2 -1
"985" 260 1 1
"986" 260 1 -1
"987" 260 2 1
"988" 260 1 -1
"989" 260 2 1
"990" 260 1 -1
"991" 261 1 -1
"992" 261 1 -1
"993" 261 1 -1
"994" 261 2 1
"995" 261 1 -1
"996" 261 2 -1
"997" 261 2 -1
"998" 261 2 -1
"999" 261 1 1
"1000" 261 2 -1
"1001" 293 2 1
"1002" 293 2 1
"1003" 293 2 1
"1004" 293 2 1
"1005" 293 2 1
"1006" 293 2 -1
"1007" 293 1 1
"1008" 293 2 -1
"1009" 293 1 1
"1010" 293 1 1
"1011" 301 1 -1
"1012" 301 2 1
"1013" 301 2 1
"1014" 301 1 -1
"1015" 301 2 1
"1016" 301 2 -1
"1017" 301 2 -1
"1018" 301 2 -1
"1019" 301 1 1
"1020" 301 1 1
"1021" 302 1 1
"1022" 302 2 -1
"1023" 302 1 1
"1024" 302 0 0
"1025" 302 2 -1
"1026" 302 1 -1
"1027" 302 1 -1
"1028" 302 0 0
"1029" 302 1 -1
"1030" 302 0 0
"1031" 304 2 -1
"1032" 304 1 1
"1033" 304 2 -1
"1034" 304 2 -1
"1035" 304 2 -1
"1036" 304 2 1
"1037" 304 2 1
"1038" 304 1 -1
"1039" 304 1 -1
"1040" 304 2 1
"1041" 305 1 -1
"1042" 305 1 -1
"1043" 305 2 1
"1044" 305 2 1
"1045" 305 1 -1
"1046" 305 2 -1
"1047" 305 2 -1
"1048" 305 2 -1
"1049" 305 2 -1
"1050" 305 0 0
"1051" 306 2 -1
"1052" 306 0 0
"1053" 306 1 1
"1054" 306 1 1
"1055" 306 1 1
"1056" 306 1 -1
"1057" 306 2 1
"1058" 306 2 1
"1059" 306 2 1
"1060" 306 2 1
"1061" 307 1 -1
"1062" 307 2 1
"1063" 307 1 -1
"1064" 307 1 -1
"1065" 307 1 -1
"1066" 307 2 -1
"1067" 307 1 1
"1068" 307 1 1
"1069" 307 1 1
"1070" 307 1 1
"1071" 308 1 1
"1072" 308 1 1
"1073" 308 1 1
"1074" 308 2 -1
"1075" 308 1 1
"1076" 308 1 -1
"1077" 308 2 1
"1078" 308 2 1
"1079" 308 1 -1
"1080" 308 1 -1
"1081" 310 2 -1
"1082" 310 1 1
"1083" 310 2 -1
"1084" 310 2 -1
"1085" 310 1 1
"1086" 310 1 -1
"1087" 310 2 1
"1088" 310 2 1
"1089" 310 2 1
"1090" 310 1 -1
"1091" 311 1 -1
"1092" 311 2 1
"1093" 311 2 1
"1094" 311 2 1
